小麦蚜虫病,Wheat Aphids,"小麦蚜虫俗称油虫、腻虫、蜜虫，是小麦的主要害虫之一，可对小麦进行刺吸危害，影响小麦光合作用及营养吸收、传导。小麦抽穗后集中在穗部危害，形成秕粒，使千粒重降低造成减产。全世界各麦区均有发生。主要危害麦类和其他禾本科作物与杂草，若虫、成虫常大量群集在叶片、茎秆、穗部吸取汁液，被害处初呈黄色小斑，后为条斑，枯萎、整株变枯至死。选择一些抗虫耐病的小麦品种，造成不良的食物条件。
小麦蚜虫俗称油虫、腻虫、蜜虫，是小麦的主要害虫之一，可对小麦进行刺吸危害，影响小麦光合作用及营养吸收、传导。小麦抽穗后集中在穗部危害，形成秕粒，使千粒重降低造成减产。全世界各麦区均有发生。主要危害麦类和其他禾本科作物与杂草，若虫、成虫常大量群集在叶片、茎秆、穗部吸取汁液，被害处初呈黄色小斑，后为条斑，枯萎、整株变枯至死。
小麦蚜虫俗称油虫、腻虫、蜜虫，是小麦的主要害虫之一，可对小麦进行刺吸危害，影响小麦光合作用及营养吸收、传导。小麦抽穗后集中在穗部危害，形成秕粒，使千粒重降低造成减产。全世界各麦区均有发生。主要危害麦类和其他禾本科作物与杂草，若虫、成虫常大量群集在叶片、茎秆、穗部吸取汁液，被害处初呈黄色小斑，后为条斑，枯萎、整株变枯至死。
小麦蚜虫俗称油虫、腻虫、蜜虫，是小麦的主要害虫之一，可对小麦进行刺吸危害，影响小麦光合作用及营养吸收、传导。小麦抽穗后集中在穗部危害，形成秕粒，使千粒重降低造成减产。全世界各麦区均有发生。主要危害麦类和其他禾本科作物与杂草，若虫、成虫常大量群集在叶片、茎秆、穗部吸取汁液，被害处初呈黄色小斑，后为条斑，枯萎、整株变枯至死。
小麦蚜虫俗称油虫、腻虫、蜜虫，是小麦的主要害虫之一，可对小麦进行刺吸危害，影响小麦光合作用及营养吸收、传导。小麦抽穗后集中在穗部危害，形成秕粒，使千粒重降低造成减产。全世界各麦区均有发生。主要危害麦类和其他禾本科作物与杂草，若虫、成虫常大量群集在叶片、茎秆、穗部吸取汁液，被害处初呈黄色小斑，后为条斑，枯萎、整株变枯至死。",播种前用种衣剂加新高脂膜拌种，可驱避地下病虫，隔离病毒感染，不影响萌发吸胀功能，加强呼吸强度，提高种子发芽率。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E8%9A%9C%E8%99%AB/2688579
小麦孢囊线虫病,Wheat cyst nematode,受害小麦幼苗矮黄，根系短分叉，后期根系被寄生呈瘤状，露出白亮至暗褐色粉粒状胞囊，此为该病的主要特征。胞囊老熟易脱落，胞囊仅在成虫期出现，故生产上常查不见胞囊而误诊。线虫为害后，病根常受次生性土壤真菌如立枯丝核菌等为害，致使根系腐烂。或与线虫共同为害，加重受害程度，致地上部矮小，发黄，似缺少营养或缺水状，,加强农业措施 春麦区适当晚播，要平衡施肥，提高植株抵抗力。施用土壤添加剂，控制根际微生态环境，使其不利于线虫生长和寄生。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E7%A6%BE%E8%B0%B7%E8%83%9E%E5%9B%8A%E7%BA%BF%E8%99%AB%E7%97%85/10671094?fromModule=search-result_lemma#4
小麦白粉病,Powdery Mildew,小麦白粉病是由禾本科布氏白粉菌引起、发生在小麦上的病害。主要为害叶片，严重时叶鞘、茎秆、穗部均会受到侵染。发病初期病部可见黄色小点，随着病情加重病点逐渐发展为病斑，呈椭圆形或圆形，表面有一层白粉状霉层，发展至中期呈白灰色，后期呈浅褐色，并产生闭囊壳。病情较轻时霉斑呈分散分布，随着病情加重霉斑也逐渐扩大成片，最终覆盖全叶；病斑下部及周围组织褪绿，病叶发黄、早枯，如发病累及茎及叶鞘，则会导致植株整株倒伏；植株矮小细弱，穗小粒少，千粒重有显著下降，最终影响小麦产量。提倡施用酵素菌沤制的堆肥或腐熟有机肥，采用配方施肥技术，适当增施磷钾肥，根据品种特性和地力合理密植。中国南方麦区雨后及时排水，防止湿气滞留。中国北方麦区适时浇水，使寄主增强抗病力,提倡施用酵素菌沤制的堆肥或腐熟有机肥，采用配方施肥技术，适当增施磷钾肥，根据品种特性和地力合理密植。中国南方麦区雨后及时排水，防止湿气滞留。中国北方麦区适时浇水，使寄主增强抗病力,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E7%99%BD%E7%B2%89%E7%97%85?fromModule=lemma_search-box#5
叶锈病,Leaf Rust,小麦叶锈病又称黄疸病，是由小麦隐匿柄锈菌侵染所引起的、发生在小麦上的病害。主要危害小麦叶片，产生疱疹状病斑，很少危害叶鞘和茎秆。选育推广抗（耐）病良种：注意多个品种合理搭配和轮换种植，避免单一品种长期大面积种植，以延缓和防止因病菌新生理小种的出现而造成品种抗病性的退化。近年新育成的抗叶锈冬小麦品种有京冬1号、8号，京核3号，京411，北农白，皖麦 26、27、28号等；春小麦品种有：垦九5号、龙麦23号、龙辐麦7号、蒙麦30号、京引1号、陇春8139、定丰3号等。可因地制宜引种。在中国黄、淮、海等冬麦区推广的抗病品种有陕农7859、冀5418、鲁麦1号、徐州21等。在品种选育和推广中应重视抗锈基因的多样化和品种的合理布局，防止品种单一种植而导致抗叶锈基因品种的出现。,选育推广抗（耐）病良种：注意多个品种合理搭配和轮换种植，避免单一品种长期大面积种植，以延缓和防止因病菌新生理小种的出现而造成品种抗病性的退化。近年新育成的抗叶锈冬小麦品种有京冬1号、8号，京核3号，京411，北农白，皖麦 26、27、28号等；春小麦品种有：垦九5号、龙麦23号、龙辐麦7号、蒙麦30号、京引1号、陇春8139、定丰3号等。可因地制宜引种。在中国黄、淮、海等冬麦区推广的抗病品种有陕农7859、冀5418、鲁麦1号、徐州21等。在品种选育和推广中应重视抗锈基因的多样化和品种的合理布局，防止品种单一种植而导致抗叶锈基因品种的出现。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E5%8F%B6%E9%94%88%E7%97%85/4168266?fromModule=search-result_lemma#6
小麦黑穗病,Wheat Loose Smut,小麦腥黑穗病是由小麦网腥黑粉菌或小麦矮腥黑粉菌引起的、发生在小麦的病害。主要为害穗部，发病植株严重矮化，株高一般只有健株的一半以下，个别小蘖感病后紧贴地面，高度不足15厘米；分蘖增加，一般比健株增加50%以上，病穗比正常健穗宽且长，颜色深，初为灰绿，后为灰黄；小穗紧密，穗部扭曲，颖壳麦芒外张，露出部分病粒，病粒较健粒短粗，后变灰黑，包外一层灰包膜，内部充满黑色粉末。,月中下旬进行小麦产地检疫，如发现带有小麦腥黑穗病的田块，零星发生时仔细检查，拔除病株，带出田外进行集中销毁处理。该田若是种子田，生产的种子不能作为种子使用。重发田块进行整块收割堆放处理，应全田彻底销毁。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E8%85%A5%E9%BB%91%E7%A9%97%E7%97%85/6612781
小麦赤霉病,Wheat scab,小麦赤霉病又称烂穗病、麦秸枯、烂麦头、红麦头、红头瘴，是由多种镰刀菌侵染所引起的、发生在小麦上的病害。从苗期到穗期均可发生，引起苗腐、茎基腐、秆腐和穗腐，以穗腐危害最大。湿度大时，病部均可见粉红色霉层。小麦受害后千综合粒重降低，发芽率下降，发芽势减弱，出粉率低，面粉质量差 ，色泽灰暗，商品价值降低。病麦含有致呕毒素和类雌性激素述等毒素，人畜食后可引起急性中毒。病麦粒中含有脱氧雪腐镰刀菌烯醇、玉米赤霉烯酮等毒素，还会导致怀孕母畜中毒后流产,选用抗病品种，培育无病种子田，深耕灭茬，清洁田园，减少和控制病菌来源。,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E8%B5%A4%E9%9C%89%E7%97%85?fromModule=lemma_search-box#6
小麦纹枯病,wheat sharp eyespot,小麦纹枯病又称立枯病、尖眼点病，是由喙角担菌侵染所引起的、发生在小麦上的一种病害。小麦纹枯病主要发生在叶鞘及茎杆上。发病初期，在地表或近地表的叶鞘上产生黄褐色椭圆形或梭形病斑，以后病部逐渐扩大，颜色变深，并向内侧发展为害茎部。小麦生长中期至后期叶鞘上的病斑呈云纹状花纹。,避免过量施用氮肥.平衡施用磷、钾肥，特别是重病田要适当增施钾肥，增强麦株的抗病能力,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E7%BA%B9%E6%9E%AF%E7%97%85?fromModule=lemma_search-box#6
小麦红蜘蛛,Wheat Red Spider,小麦红蜘蛛是一种对农作物危害性很大的害虫，常分布于山东、山西、江苏、安徽、河南、四川、陕西等地。小麦、大麦、豌豆、苜蓿、杂草等一旦被侵害导致植株矮小，发育不良，重者干枯死亡，,2.0%天达阿维菌素或15%哒螨灵乳油20毫升/亩，15%扫螨净乳油15-20毫升/亩，任选一种兑水30-45千克常规喷雾,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E7%BA%A2%E8%9C%98%E8%9B%9B?fromModule=lemma_search-box#2
小麦茎基腐,Wheat stalk rot,小麦产区都有发生。东北春麦区以苗腐、叶枯和穗腐为主。西北主要为害根部和茎基部，引起根腐和茎基腐。冬麦区多发生叶枯和穗腐。由小麦离蠕孢菌bipolaris sorokinian (Sacc．)Shiem．helminthosporium sativum Pammel.el al.侵染所引起。缺苗率增加，成穗率、穗粒数和种子质量都明显降低。除为害小麦外，不为害大麦、黑麦等。,用种子重量0.2%～0.3%的50%代森锰锌可湿性粉剂，或50%福美双可湿性粉剂，或15%粉锈宁可湿性粉剂等药剂拌种。成株发病初期喷洒药剂防治，方法同叶枯病,https://baike.baidu.com/item/%E9%BA%A6%E6%A0%B9%E8%85%90%E7%97%85/9926967?fromModule=search-result_lemma#2
小麦全蚀病,Wheat Take-all,小麦全蚀病又称小麦立枯病、黑脚病，是由禾顶囊壳禾谷变种和禾顶囊壳小麦变种侵染所引起的、发生在小麦上的病害。主要为害小麦地下部分根部和茎基部1-2节处。小麦抽穗后田间病株成簇或点片状发生早枯白穗，病根变黑，易于拔起。在茎基部表面及叶鞘内布满紧密交织的黑褐色菌丝层，呈“黑脚”状，天线后颜色加深呈黑膏药状，上密布黑褐色颗粒状子囊壳，,禁止从病区引种，防止病害蔓延：对怀疑带病种子用51-54℃温水浸种10分钟或用有效成分0.15托布津药液浸种10分钟。病区要严格控制种子外调，新的轻病区及时采取扑灭性措施，消灭发病中心，对地块实行三年以上的禁种。水旱轮作，病菌易失去生活力。粪肥必须高温发酵后施用。要多施基肥，发挥有机肥的防病作用。选用农艺性状好的耐病良种,https://baike.baidu.com/item/%E5%B0%8F%E9%BA%A6%E5%85%A8%E8%9A%80%E7%97%85?fromModule=lemma_search-box#5
根冠腐烂,Crown and Root Rot,根腐病是一种真菌引起的病，该病会造成根部腐烂，吸收水分和养分的功能逐渐减弱，最后全株死亡，,插穗消毒：播种前，种子可用种子重量0.3 %的退菌特或种子重量0.1%的粉锈宁拌种，或用80%的402抗菌剂乳油2000倍液浸种5小时；插穗基部也可用同样浓度药液浸1小时后扦插,https://baike.baidu.com/item/%E6%A0%B9%E8%85%90%E7%97%85/2274168
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
